14:51:46 INFO  manager.AppManager - Tests starting on Chrome
14:51:47 INFO  TestBase - Method SearchPositiveSearch is started
14:51:47 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
14:51:47 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
14:51:47 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
14:51:47 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
14:51:48 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
14:51:48 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
14:51:48 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
14:51:48 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
14:51:52 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
14:51:52 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
14:51:52 INFO  TestBase - ==================================
