14:35:37 INFO  manager.AppManager - Tests starting on Chrome
14:35:39 INFO  TestBase - Method SearchFormDateManualPositive is started
14:35:42 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
14:35:42 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
14:35:43 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
14:35:43 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
14:35:46 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: #city
14:35:46 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: #city is found
14:35:46 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='dates']
14:35:46 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='dates'] is found
14:35:49 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
14:35:49 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
14:35:49 INFO  TestBase - ==================================
