09:52:38 INFO  manager.AppManager - Tests starting on Chrome
09:52:40 INFO  TestBase - Method SearchPositiveSearch is started
09:52:40 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
09:52:40 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
09:52:40 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
09:52:40 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
09:52:40 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
09:52:40 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
09:52:40 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[.=' 16 ']
09:52:40 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[.=' 16 '] is found
09:52:40 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:40 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:42 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:42 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:43 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:43 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:44 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:44 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:45 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:45 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:46 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:46 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:47 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:47 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:48 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@aria-label='Next month']
09:52:48 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@aria-label='Next month'] is found
09:52:49 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[.=' 19 ']
09:52:49 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[.=' 19 '] is found
09:52:50 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
09:52:50 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
09:52:50 INFO  TestBase - ==================================
