17:16:01 INFO  manager.AppManager - Tests starting on Chrome
17:16:02 INFO  TestBase - Method loginPositive is started
17:16:02 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
17:16:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
17:16:12 INFO  manager.TestNGListener - Test loginPositive invoked
17:16:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Log in ']
17:16:13 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Log in '] is found
17:16:13 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
17:16:13 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
17:16:13 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
17:16:13 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
17:16:13 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
17:16:13 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
17:16:13 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
17:16:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
17:16:14 INFO  manager.TestNGListener - Test loginPositive successful
17:16:14 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='button']
17:16:14 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='button'] is found
17:16:14 INFO  TestBase - ==================================
