15:55:39 INFO  manager.AppManager - Tests starting on Chrome
15:55:42 INFO  TestBase - Method SearchFormDateManualPositive is started
15:55:45 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
15:55:45 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
15:55:45 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
15:55:45 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
15:55:48 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: label[for='city'] span[class='required-marker']
15:55:48 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: label[for='city'] span[class='required-marker'] is found
15:55:48 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='dates']
15:55:48 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='dates'] is found
15:55:51 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
15:55:51 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
15:55:51 INFO  TestBase - ==================================
