15:57:25 INFO  manager.AppManager - Tests starting on Chrome
15:57:27 INFO  TestBase - Method SearchFormDateManualPositive is started
15:57:30 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
15:57:30 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
15:57:30 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: label[for='city'] span[class='required-marker']
15:57:30 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: label[for='city'] span[class='required-marker'] is found
15:57:30 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
15:57:30 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
15:57:30 INFO  manager.WebDriverListener - Something went wrong!
15:57:30 INFO  manager.WebDriverListener - Keys to send should be a not null CharSequence
15:57:30 INFO  manager.WebDriverListener - java.lang.IllegalArgumentException: Keys to send should be a not null CharSequence
15:57:30 INFO  manager.WebDriverListener - This is a link to screenshot with error ---> src/test/screenshots/screen-3450.png
15:57:30 INFO  TestBase - ==================================
