14:16:07 INFO  manager.AppManager - Tests starting on Chrome
14:16:09 INFO  TestBase - Method SearchFormDateManualPositive is started
14:16:12 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
14:16:12 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
14:16:12 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
14:16:12 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
14:16:15 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: #city
14:16:15 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: #city is found
14:16:15 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='dates']
14:16:15 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='dates'] is found
14:16:18 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
14:16:18 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
14:16:18 INFO  TestBase - ==================================
