16:14:31 INFO  manager.AppManager - Tests starting on Chrome
16:14:33 INFO  TestBase - Method SearchFormDateManualPositive is started
16:14:36 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
16:14:36 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
16:14:36 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
16:14:36 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
16:14:42 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: #city
16:14:42 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: #city is found
16:14:42 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='dates']
16:14:42 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='dates'] is found
16:14:45 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
16:14:45 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
16:14:45 INFO  TestBase - ==================================
