11:14:16 INFO  manager.AppManager - Tests starting on Chrome
11:14:18 INFO  TestBase - Method loginPositiveUserDTO is started
11:14:18 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //*[.=' Logout ']
11:14:28 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //*[.=' Logout '] is found
11:14:28 INFO  manager.TestNGListener - Test loginPositiveUserDTO invoked
11:14:28 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@class='navigation-link'][normalize-space()='Log in']
11:14:28 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@class='navigation-link'][normalize-space()='Log in'] is found
11:14:28 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='email']
11:14:28 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='email'] is found
11:14:28 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='password']
11:14:28 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='password'] is found
11:14:28 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
11:14:28 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
11:14:35 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //h2[contains(text(),'success')]
11:14:35 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //h2[contains(text(),'success')] is found
11:14:35 INFO  manager.TestNGListener - Test loginPositiveUserDTO successful
11:14:35 INFO  TestBase - ==================================
