16:05:49 INFO  manager.AppManager - Tests starting on Chrome
16:05:51 INFO  TestBase - Method SearchFormDateManualPositive is started
16:05:54 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //a[@id='0']
16:05:54 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //a[@id='0'] is found
16:05:54 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
16:05:54 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
16:05:57 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: #city
16:05:57 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: #city is found
16:05:57 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //input[@id='dates']
16:05:57 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //input[@id='dates'] is found
16:06:00 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
16:06:00 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
16:06:00 INFO  TestBase - ==================================
